frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,0,0,0.13743217175564829,0.13933678664179558,-0.12750303537703192
1,0,0,0.25424951774794935,0.2577722423910828,-0.1275117669682461
2,0,0,0.35403263001915697,0.3584250638582721,-0.12604453829793894
3,0,0,0.4388596314096813,0.4439827424899921,-0.12475727973240557
4,0,0,0.5108142671777798,0.5167476198731656,-0.12425756291544272
5,0,0,0.57182288896603,0.5786876544162274,-0.12405534926654527
6,1,1,0.6238093247728675,0.631338141526137,-0.12385097568937004
7,1,1,0.6681626134951735,0.676044203157383,-0.12433961744497918
8,1,1,0.7059403548195995,0.7140481131828078,-0.12474955627721085
9,1,1,0.7369786081814593,0.746241892954871,-0.12848860339476925
10,1,1,0.7634653627328029,0.7736489133650597,-0.13185828744252082
11,1,1,0.7859459065031803,0.7969956438313157,-0.13501219160060945
12,1,1,0.8046645536512743,0.8166727877076367,-0.1380878275784919
13,1,1,0.8206461515074375,0.8334904036184027,-0.14091604762277454
14,1,1,0.970148652794529,0.986831353370099,-0.14364337288988993
15,1,1,0.9610095404790125,0.9780980235831365,-0.14610760071118914
16,1,1,0.9528199781228629,0.9707964952445622,-0.1483123017127057
17,1,1,1.0,1.0,-0.15030263491526197
18,1,1,0.9860589328478915,0.9882973844798763,-0.14081477306953744
19,1,1,1.0,1.0,-0.13232932627655425
20,1,1,1.0,1.0,-0.1247197685031277
21,1,1,0.9866316180144848,0.9889734094731418,-0.11789540973614858
22,1,1,0.9753931487599198,0.9797402823667963,-0.11176682200150763
23,1,1,0.9659416504272799,0.9719981783776023,-0.10625085526033537
24,1,1,0.9579765589592313,0.9654768845345852,-0.10128264906348872
25,1,1,0.9512721686517852,0.9599976983197039,-0.09682551003644035
26,1,1,0.9456275870335183,0.9553822097787555,-0.09286547930683875
27,1,1,0.9413104595233115,0.9513627266726645,-0.09012145095537685
28,1,1,0.9379135542523723,0.9473306512600514,-0.08813540223331956
29,1,1,0.9350679141827859,0.944165361375611,-0.08631884785054683
30,1,1,0.9328818256576554,0.9412188779414156,-0.08504437919906131
31,1,1,0.9310286095247349,0.9389519931929122,-0.08390758528738747
32,1,1,0.929750796095609,0.9372593825429202,-0.0817757387416153
33,1,1,0.9287051994872464,0.9359959225682029,-0.07986731861584621
